Name,Type,Account Number,Balance (CAD),Currency,Parent Account,Balance,Type Code,Opening Balance Date,Cleared Balance,Reconciliation Date,No Cleared Balance (CAD),No Cleared Balance
Gains/Pertes sur transferts,Expense,59515.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total amortissements et impôts,Expense,59480.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôts de l'exercice,Expense,59475.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôts exigibles,Expense,59470.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt fédéral de l'exercice,Expense,59465.0,0.00,Canadian Dollar,Impôts de l'exercice,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Impôt provincial de l'exercice,Expense,59460.0,0.00,Canadian Dollar,Impôts de l'exercice,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Recette subvention gouvernement,Expense,59455.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amortissement de l'exercice,Expense,59450.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Amortissements et impôts,Expense,59400.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total frais bancaires,Expense,59395.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts et pénalités sur impôt,Expense,59375.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts dette à long terme,Expense,59350.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Perte sur disposition d'actifs,Expense,59330.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de carte de crédit,Expense,59325.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais square,Expense,59320.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de Service Firma,Expense,59305.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais bancaires,Expense,59300.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts marge de crédit usd,Expense,59280.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,03/22/2023,CAD 0.00,03/22/2023,0.00,CAD 0.00
Intérêts marge de crédit,Expense,59275.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais marge crédit,Expense,59250.0,0.00,Canadian Dollar,Intérêts Responsabilités financières courantes,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Intérêts Responsabilités financières courantes,Expense,59200.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,06/22/2022,CAD 0.00,06/22/2022,0.00,CAD 0.00
Total frais généraux administration,Expense,59190.0,0.00,Canadian Dollar,Salaires et charges sociales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
"Licences, permis et adhésions",Expense,59000.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
World Banana Forum,Expense,58980.0,0.00,Canadian Dollar,"Licences, permis et adhésions",CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Cotisations autres,Expense,58975.0,0.00,Canadian Dollar,"Licences, permis et adhésions",CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Cotisations équitables,Expense,58950.0,0.00,Canadian Dollar,"Licences, permis et adhésions",CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Cotisations bio,Expense,58925.0,0.00,Canadian Dollar,"Licences, permis et adhésions",CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Assurances,Expense,58900.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Assurances responsabilités,Expense,58875.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Assurances Cargo,Expense,58850.0,0.00,Canadian Dollar,Assurances,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de service Ceridian,Expense,58840.0,0.00,Canadian Dollar,Avantages et bénéfices salariales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
EQ Care,Expense,58830.0,0.00,Canadian Dollar,Avantages et bénéfices salariales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Avantages et bénéfices salariales,Expense,58820.0,0.00,Canadian Dollar,Salaires et charges sociales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais mensuel Tedy,Expense,58815.0,0.00,Canadian Dollar,Avantages et bénéfices salariales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais Stripe Tedy,Expense,58810.0,0.00,Canadian Dollar,Avantages et bénéfices salariales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Avantages Tedy,Expense,58805.0,0.00,Canadian Dollar,Avantages et bénéfices salariales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Téléphone,Expense,58775.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Cellulaires,Expense,58750.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Sap One,Expense,58730.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,04/17/2024,CAD 0.00,04/17/2024,0.00,CAD 0.00
Consultation M365,Expense,58729.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/15/2022,CAD 0.00,12/15/2022,0.00,CAD 0.00
Magaya,Expense,58728.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/15/2022,CAD 0.00,12/15/2022,0.00,CAD 0.00
SPS,Expense,58727.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,03/17/2022,CAD 0.00,03/17/2022,0.00,CAD 0.00
Itrade,Expense,58726.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais informatiques,Expense,58725.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Asana,Expense,58724.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,05/02/2024,CAD 0.00,05/02/2024,0.00,CAD 0.00
Informatiques & Télécomms,Expense,58720.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais Honoraires professionnels,Expense,58700.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Mauvaises créances,Expense,58675.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Food safety,Expense,58660.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais Operadora Portuaria Centroamericana,Expense,58651.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,05/10/2024,CAD 0.00,05/10/2024,0.00,CAD 0.00
Frais légaux et réglementaires,Expense,58650.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de gouvernance,Expense,58500.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,01/15/2024,CAD 0.00,01/15/2024,0.00,CAD 0.00
Team building,Expense,58460.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Cadeaux et récompenses,Expense,58450.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Dons,Expense,58400.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Soutien RH et recrutement,Expense,58360.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Honoraires professionnels,Expense,58350.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Tenue de livre U.S,Expense,58310.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,01/16/2024,CAD 0.00,01/16/2024,0.00,CAD 0.00
Tenue de livre,Expense,58305.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Formation cours/livres,Expense,58300.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Courrier & frais postaux,Expense,58250.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Fournitures et papeterie,Expense,58200.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Entretien et réparation bureau,Expense,58175.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,02/16/2022,CAD 0.00,02/16/2022,0.00,CAD 0.00
Mobilier pour le bureau,Expense,58150.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Sécurité,Expense,58100.0,0.00,Canadian Dollar,Frais Honoraires professionnels,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Loyer,Expense,58050.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de repas internes,Expense,58010.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de bureau,Expense,58000.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,09/08/2022,CAD 0.00,09/08/2022,0.00,CAD 0.00
Frais de déplacements internes,Expense,57950.0,0.00,Canadian Dollar,Travel,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais généraux d'administration,Expense,57925.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Travel,Expense,57900.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,01/16/2024,CAD 0.00,01/16/2024,0.00,CAD 0.00
Total développement fournisseurs,Expense,56900.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Développement professionnel - formation,Expense,56890.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/17/2023,CAD 0.00,12/17/2023,0.00,CAD 0.00
Frais gestion des opérations,Expense,56885.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/17/2023,CAD 0.00,12/17/2023,0.00,CAD 0.00
Frais conformité,Expense,56880.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/17/2023,CAD 0.00,12/17/2023,0.00,CAD 0.00
Frais développement durable,Expense,56875.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/17/2023,CAD 0.00,12/17/2023,0.00,CAD 0.00
Dépenses développement fournisseurs,Expense,56870.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de voyage qualité origine,Expense,56865.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/17/2023,CAD 0.00,12/17/2023,0.00,CAD 0.00
Honoraires consultants qualité,Expense,56860.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Conférences,Expense,56855.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/17/2023,CAD 0.00,12/17/2023,0.00,CAD 0.00
Evènements Dév. fournisseurs,Expense,56850.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de repas Dév. fournisseurs,Expense,56800.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Hébergement Dév. fournisseurs,Expense,56701.0,0.00,Canadian Dollar,Travel,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de voyage Dév. fournisseurs,Expense,56700.0,0.00,Canadian Dollar,Travel,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Gestion des opérations,Expense,56675.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total développement des affaires,Expense,56600.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Honoraires Dév.affaires,Expense,56550.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Evènements Dév. affaires,Expense,56500.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Education Dév. Affaires,Expense,56480.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Dépenses développement affaires,Expense,56470.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de repas Dév. affaires,Expense,56450.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Outils de vente Dév. affaires,Expense,56425.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Hébergement Dév. affaires,Expense,56400.0,0.00,Canadian Dollar,Travel,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de voyage Dev.affaires,Expense,56350.0,0.00,Canadian Dollar,Travel,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de développement des affaires,Expense,56349.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total frais de Marketing,Expense,56325.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Etudes de marché et data,Expense,56320.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Creative Agency and Consultants,Expense,56315.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Other Marketing,Expense,56310.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Meal Marketing,Expense,56300.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Travel Marketing,Expense,56250.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Business Development Sponsorship US,Expense,56245.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Business Development Sponsorship Canada,Expense,56240.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
B2B Brand Building USA,Expense,56237.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,09/15/2023,CAD 0.00,09/15/2023,0.00,CAD 0.00
B2B Brand Building Canada,Expense,56236.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,09/15/2023,CAD 0.00,09/15/2023,0.00,CAD 0.00
B2C Brand Building USA,Expense,56235.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,01/10/2023,CAD 0.00,01/10/2023,0.00,CAD 0.00
B2C Brand Building Canada,Expense,56230.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
POS,Expense,56225.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Customers gifts,Expense,56220.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Professional Development,Expense,56215.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Marketing Activations promo clients,Expense,56211.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Marketing Activations,Expense,56210.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Swag,Expense,56205.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Printing cost,Expense,56200.0,0.00,Canadian Dollar,Frais de bureau,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Design and Packaging,Expense,56150.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Community Sponsorships,Expense,56110.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,01/16/2024,CAD 0.00,01/16/2024,0.00,CAD 0.00
Community Sponsorships USA,Expense,56105.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,01/10/2023,CAD 0.00,01/10/2023,0.00,CAD 0.00
Community Sponsorships Canada,Expense,56100.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Subscriptions,Expense,56070.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/01/2022,CAD 0.00,12/01/2022,0.00,CAD 0.00
Retail Activation USA,Expense,56065.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,01/10/2023,CAD 0.00,01/10/2023,0.00,CAD 0.00
Retail Activation Canada,Expense,56060.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
General Publicity,Expense,56050.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Personnel supplémentaire,Expense,56000.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Activités promo en magasin Longo's,Expense,55960.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Trade Show USA,Expense,55955.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,01/10/2023,CAD 0.00,01/10/2023,0.00,CAD 0.00
Trade Show Canada,Expense,55950.0,0.00,Canadian Dollar,Advertising and Promotion,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Advertising and Promotion,Expense,55900.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais marketing,Expense,55800.0,0.00,Canadian Dollar,,CAD 0.00,EXP,09/08/2022,CAD 0.00,09/08/2022,0.00,CAD 0.00
Total salaires et avant soc.adm.,Expense,55700.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Salaires et charges sociales marketing,Expense,55390.0,0.00,Canadian Dollar,Salaires et charges sociales,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge Assurance invalidité marketing,Expense,55380.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge Avantage Ass. maladie marketing,Expense,55375.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge Avantage Ass.vie pac marketing,Expense,55370.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge Invalidité longue durée marketing,Expense,55365.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RPDB markieting,Expense,55360.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
