Name,Type,Account Number,Balance (CAD),Currency,Parent Account,Balance,Type Code,Opening Balance Date,Cleared Balance,Reconciliation Date,No Cleared Balance (CAD),No Cleared Balance
Charge CSST marketing,Expense,55350.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RQAP marketing,Expense,55345.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du FSSQ marketing,Expense,55340.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RRQ marketing,Expense,55335.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RRC marketing,Expense,55330.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge de A-E marketing,Expense,55325.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Vacances marketing,Expense,55305.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Salaires marketing,Expense,55300.0,0.00,Canadian Dollar,Salaires et charges sociales marketing,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Salaires et charges sociales administration,Expense,55190.0,0.00,Canadian Dollar,Salaires et charges sociales,CAD 0.00,EXP,08/31/2022,CAD 0.00,08/31/2022,0.00,CAD 0.00
Charge Assurance invalidité administration,Expense,55180.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge Avantage Ass. maladie administration,Expense,55175.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge Avantage Ass. vie pac -admin,Expense,55170.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du REER Patronale - admin,Expense,55161.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RPDB administration,Expense,55160.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,08/31/2022,CAD 0.00,08/31/2022,0.00,CAD 0.00
Charge CSST administration,Expense,55150.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,08/31/2022,CAD 0.00,08/31/2022,0.00,CAD 0.00
Charge du RQAP - administration,Expense,55145.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du FSSQ - administration,Expense,55140.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RRQ - administration,Expense,55135.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge du RPC - administration,Expense,55130.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge de A-E - administration,Expense,55125.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Vacances administration,Expense,55105.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Salaires administrations,Expense,55100.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge CNESST,Expense,55050.0,0.00,Canadian Dollar,Salaires et charges sociales administration,CAD 0.00,EXP,06/26/2024,CAD 0.00,06/26/2024,0.00,CAD 0.00
Salaires et charges sociales,Expense,55000.0,0.00,Canadian Dollar,Operating Expenses,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Operating Expenses,Expense,54900.0,0.00,Canadian Dollar,,CAD 0.00,EXP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Customers Discounts,Expense,,0.00,Canadian Dollar,,CAD 0.00,EXP,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Opening Balance Expense,Expense,,0.00,Canadian Dollar,,CAD 0.00,EXP,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Sales Commission,Expense,,0.00,Canadian Dollar,,CAD 0.00,EXP,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Actions catégorie F,Equity,33510.0,"-249,990.04",Canadian Dollar,Capital - Actions,CAD -249990.04,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total des bénéfices non répartis,Equity,36900.0,0.00,Canadian Dollar,,CAD 0.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Bénéfice net,Equity,36000.0,0.00,Canadian Dollar,Bénéfices non répartis,CAD 0.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Bénéfices non répartis,Equity,35000.0,0.00,Canadian Dollar,,CAD 0.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total du capital - Actions,Equity,34000.0,0.00,Canadian Dollar,,CAD 0.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Prime sur rachats d'actions,Equity,33600.0,0.00,Canadian Dollar,,CAD 0.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Capital - Actions,Equity,33000.0,0.00,Canadian Dollar,,CAD 0.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Dividendes,Equity,30100.0,0.00,Canadian Dollar,,CAD 0.00,EQUITY,03/17/2023,CAD 0.00,03/17/2023,0.00,CAD 0.00
Opening Balance Equity,Equity,,0.00,Canadian Dollar,,CAD 0.00,EQUITY,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Actions catégorie C - Kim,Equity,33506.0,1.50,Canadian Dollar,Capital - Actions,CAD 1.50,EQUITY,04/08/2024,CAD 0.00,04/08/2024,0.00,CAD 0.00
Actions catégorie A - Kim,Equity,33501.0,1.50,Canadian Dollar,Capital - Actions,CAD 1.50,EQUITY,04/08/2024,CAD 0.00,04/08/2024,0.00,CAD 0.00
Actions catégorie C,Equity,33505.0,8.50,Canadian Dollar,Capital - Actions,CAD 8.50,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Actions catégorie A - Fiducie,Equity,33500.0,8.50,Canadian Dollar,Capital - Actions,CAD 8.50,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Actions catégorie G,Equity,33515.0,54.00,Canadian Dollar,Capital - Actions,CAD 54.00,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Retained Earnings,Equity,,"935,141.38",Canadian Dollar,,CAD -359221.73,EQUITY,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Bénéfices non répartis- exer. préc.,Equity,35600.0,"1,703,678.11",Canadian Dollar,,CAD 1703678.11,EQUITY,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Gains/Pertes de change réalisés,Cost Of Goods Sold,59510.0,0.00,Canadian Dollar,Gains/Pertes de change,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Gains/Pertes de change réalisés Magaya,Cost Of Goods Sold,59505.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Gains/Pertes de change,Cost Of Goods Sold,59500.0,0.00,Canadian Dollar,,CAD 0.00,COGS,09/08/2022,CAD 0.00,09/08/2022,0.00,CAD 0.00
Main d'oeuvre direct,Cost Of Goods Sold,55290.0,0.00,Canadian Dollar,,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge Assurance invalidité opération,Cost Of Goods Sold,55280.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge Avantage Ass. maladie opération,Cost Of Goods Sold,55275.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge CSST opération,Cost Of Goods Sold,55250.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge du RQAP opération,Cost Of Goods Sold,55245.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge du FSSQ opération,Cost Of Goods Sold,55240.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge du RRQ opération,Cost Of Goods Sold,55235.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Charge CNT,Cost Of Goods Sold,55230.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Charge de A-E opération,Cost Of Goods Sold,55225.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,08/31/2022,CAD 0.00,08/31/2022,0.00,CAD 0.00
Charge du RPDB opération,Cost Of Goods Sold,55222.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Vacances opérations,Cost Of Goods Sold,55205.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,09/01/2022,CAD 0.00,09/01/2022,0.00,CAD 0.00
Honoraires consultants,Cost Of Goods Sold,55201.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,06/22/2022,CAD 0.00,06/22/2022,0.00,CAD 0.00
Salaires opérations,Cost Of Goods Sold,55200.0,0.00,Canadian Dollar,Main d'oeuvre direct,CAD 0.00,COGS,08/31/2022,CAD 0.00,08/31/2022,0.00,CAD 0.00
Coût total des marchandises vendues,Cost Of Goods Sold,53500.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Stocks à la fin,Cost Of Goods Sold,52000.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais envoi doc,Cost Of Goods Sold,51750.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais Éco Entreprises,Cost Of Goods Sold,51710.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,02/09/2024,CAD 0.00,02/09/2024,0.00,CAD 0.00
Frais de licence US,Cost Of Goods Sold,51701.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,05/16/2024,CAD 0.00,05/16/2024,0.00,CAD 0.00
Frais de licence CA,Cost Of Goods Sold,51700.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Detention,Cost Of Goods Sold,51625.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Demurrage,Cost Of Goods Sold,51620.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Reefer plugin,Cost Of Goods Sold,51615.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Murissage,Cost Of Goods Sold,51610.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Storage pallets,Cost Of Goods Sold,51605.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,02/21/2023,CAD 0.00,02/21/2023,0.00,CAD 0.00
Entreposage et murissage,Cost Of Goods Sold,51600.0,0.00,Canadian Dollar,,CAD 0.00,COGS,09/08/2022,CAD 0.00,09/08/2022,0.00,CAD 0.00
Réparations,Cost Of Goods Sold,51565.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inspections douanières,Cost Of Goods Sold,51515.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
CA Clearance,Cost Of Goods Sold,51511.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,01/12/2025,CAD 0.00,01/12/2025,0.00,CAD 0.00
US Clearance,Cost Of Goods Sold,51510.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais de douanes,Cost Of Goods Sold,51500.0,0.00,Canadian Dollar,,CAD 0.00,COGS,09/08/2022,CAD 0.00,09/08/2022,0.00,CAD 0.00
Frais  OPC,Cost Of Goods Sold,51475.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,03/14/2023,CAD 0.00,03/14/2023,0.00,CAD 0.00
Dump,Cost Of Goods Sold,51470.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais PayCargo,Cost Of Goods Sold,51465.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,03/29/2024,CAD 0.00,03/29/2024,0.00,CAD 0.00
Manutention Courchesne Larose,Cost Of Goods Sold,51460.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Attente Courchesne Larose,Cost Of Goods Sold,51459.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Attente livraison Chiovitti,Cost Of Goods Sold,51458.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Attente livraison Go Fresh,Cost Of Goods Sold,51457.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Attente livraison Sobeys,Cost Of Goods Sold,51456.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Attente livraison Canadawide,Cost Of Goods Sold,51455.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Livraison au client,Cost Of Goods Sold,51450.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Manutention port,Cost Of Goods Sold,51440.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais annexes Sobeys,Cost Of Goods Sold,51435.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais qualité - Costco US,Cost Of Goods Sold,51433.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,09/05/2023,CAD 0.00,09/05/2023,0.00,CAD 0.00
Tive Tag Temperature Logger,Cost Of Goods Sold,51432.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,07/06/2023,CAD 0.00,07/06/2023,0.00,CAD 0.00
FSVP,Cost Of Goods Sold,51431.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,05/12/2023,CAD 0.00,05/12/2023,0.00,CAD 0.00
Frais qualité - origine,Cost Of Goods Sold,51430.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inspection locale,Cost Of Goods Sold,51425.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Frais booking Perou,Cost Of Goods Sold,51420.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Transport Mexique direct,Cost Of Goods Sold,51415.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Transport Maritime,Cost Of Goods Sold,51410.0,0.00,Canadian Dollar,Transport et livraison,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Transport pays d'origine,Cost Of Goods Sold,51405.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Transport et livraison,Cost Of Goods Sold,51400.0,0.00,Canadian Dollar,,CAD 0.00,COGS,09/08/2022,CAD 0.00,09/08/2022,0.00,CAD 0.00
Prime sociale,Cost Of Goods Sold,51300.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Credit producteur,Cost Of Goods Sold,51210.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Pertes sur achats,Cost Of Goods Sold,51205.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Coût du fruit,Cost Of Goods Sold,51200.0,0.00,Canadian Dollar,Purchases and Supplies,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Purchases and Supplies,Cost Of Goods Sold,51100.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Stocks au début,Cost Of Goods Sold,51050.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Total variation d'inventaire,Cost Of Goods Sold,50800.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Coûts de transfert,Cost Of Goods Sold,50750.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Radiation d'ajustement,Cost Of Goods Sold,50700.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Coûts de l'assemblage des articles,Cost Of Goods Sold,50650.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Ecart des prix de stock,Cost Of Goods Sold,50600.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inventaires,Cost Of Goods Sold,50550.0,0.00,Canadian Dollar,,CAD 0.00,COGS,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Inventory Cost,Cost Of Goods Sold,,0.00,Canadian Dollar,,CAD 0.00,COGS,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Insurance Cost,Cost Of Goods Sold,,0.00,Canadian Dollar,,CAD 0.00,COGS,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Agent Liquidation Cost,Cost Of Goods Sold,,0.00,Canadian Dollar,,CAD 0.00,COGS,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Courtier cambiste us,Bank Account,10475.0,0.00,Canadian Dollar,,CAD 0.00,BANK,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Comptant USD transit,Bank Account,10455.0,0.00,Canadian Dollar,,CAD 0.00,BANK,12/06/2021,CAD 0.00,12/31/2021,0.00,CAD 0.00
Comptant USD,Bank Account,10450.0,0.00,United States Dollar,,USD 0.00,BANK,12/03/2021,USD 0.00,11/30/2024,-40.29,USD 0.00
Cash,Bank Account,,0.00,Canadian Dollar,,CAD 0.00,BANK,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Comptant CAD,Bank Account,10400.0,"1,314.05",Canadian Dollar,,CAD 1314.05,BANK,12/06/2021,CAD 47392.11,11/30/2024,"-46,078.06",CAD -46078.06
Comptant CAD RBC,Bank Account,10410.0,"63,736.16",Canadian Dollar,,CAD 63736.16,BANK,01/12/2023,CAD 93689.88,12/31/2024,"-29,953.72",CAD -29953.72
Comptant USD RBC,Bank Account,10460.0,"827,226.44",United States Dollar,,USD 615882.80,BANK,01/12/2023,USD 496747.50,12/31/2024,"174,471.51",USD 119135.30
CPG D'ENTREPRISE USD RBC,Bank Account,10465.0,"981,400.00",United States Dollar,,USD 700000.00,BANK,08/27/2024,USD 0.00,08/27/2024,"981,400.00",USD 700000.00
Comptes clients USD transit,Accounts Receivable,11015.0,0.00,Canadian Dollar,,CAD 0.00,AR,12/13/2021,CAD 0.00,12/13/2021,0.00,CAD 0.00
Comptes clients CAD,Accounts Receivable,11000.0,0.00,Canadian Dollar,,CAD 0.00,AR,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Accounts Receivable,Accounts Receivable,,0.00,Canadian Dollar,,CAD 0.00,AR,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Souscription à recevoir,Accounts Receivable,11310.0,30.00,Canadian Dollar,,CAD 30.00,AR,05/10/2024,CAD 0.00,05/10/2024,0.00,CAD 0.00
Dépôt HelloDarwin,Accounts Receivable,11020.0,"15,000.00",Canadian Dollar,,CAD 15000.00,AR,08/27/2024,CAD 0.00,08/27/2024,0.00,CAD 0.00
Comptes clients USD,Accounts Receivable,11010.0,"2,638,973.63",United States Dollar,,USD 1835440.02,AR,12/06/2021,USD 0.00,12/06/2021,0.00,USD 0.00
Credit Card to be paid,Accounts Payable,20155.0,0.00,Canadian Dollar,,CAD 0.00,AP,05/10/2024,CAD 0.00,05/10/2024,0.00,CAD 0.00
Comptes payables USD transit,Accounts Payable,20110.0,0.00,Canadian Dollar,,CAD 0.00,AP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Accounts Payable,Accounts Payable,,0.00,Canadian Dollar,,CAD 0.00,AP,04/30/2019,CAD 0.00,04/30/2019,0.00,CAD 0.00
Comptes payables CAD,Accounts Payable,20100.0,"70,477.48",Canadian Dollar,,CAD 70477.48,AP,12/06/2021,CAD 0.00,12/06/2021,0.00,CAD 0.00
Comptes payables USD,Accounts Payable,20115.0,"520,618.92",United States Dollar,,USD 363418.69,AP,12/13/2021,USD 0.00,12/13/2021,0.00,USD 0.00
