"Status","Sales Order","Line No.","Description","Part Number","Quantity","Price","Amount","Promised Date","Unit","Tax Code","Tax Rate","Tax Amt.","Amt.+Tax","Is Cancelled"
"Loaded","4536","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","0.00000","0.00",,"Cases",,"0.00","0.00","0.00","No"
"Loaded","4533","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Loaded","4565","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","855","26.77000","22,888.35",,"Cases",,"0.00","0.00","22,888.35","No"
"Loaded","4543","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4537","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Loaded","4532","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4564","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4572","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Loaded","4575QC","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","240","23.81000","5,714.40",,"Cases",,"0.00","0.00","5,714.40","No"
"Loaded","4575BCH","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","720","23.81000","17,143.20",,"Cases",,"0.00","0.00","17,143.20","No"
"Loaded","4550","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","960","25.67000","24,643.20",,"Cases",,"0.00","0.00","24,643.20","No"
"Loaded","4560","2","Banano Cavendish Organico Fairtrade con banda","001COCIA","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Loaded","4527CH","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Loaded","4527S","1","Banano Cavendish Organico Fairtrade con Banda SPTS","008MXCOL","48","0.00000","0.00",,,,"0.00","0.00","0.00","No"
"Loaded","4530QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","240","23.81000","5,714.40",,"Cases",,"0.00","0.00","5,714.40","No"
"Loaded","4530BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","720","23.81000","17,143.20",,"Cases",,"0.00","0.00","17,143.20","No"
"Loaded","4562","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4500","1","Banano Cavendish Organico Fairtrade con banda","001PEAPP","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Loaded","4526","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECLAT","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4489","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECPRI","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Loaded","4528","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4545","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4462","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECPRI","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Loaded","3990","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4502","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","960","25.67000","24,643.20",,"Cases",,"0.00","0.00","24,643.20","No"
"Loaded","4506","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4542","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Loaded","4505","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4531","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4504","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Loaded","4511","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Loaded","4498","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECHCM","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4563","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4493","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4521","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4492","2","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4509","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","25.32000","22,788.00",,,,"0.00","0.00","22,788.00","No"
"Delivered","4541","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Delivered","4494","2","Banano Cavendish Organico Fairtrade con banda","001ECELG","768","24.36000","18,708.48",,"Cases",,"0.00","0.00","18,708.48","No"
"Delivered","4494","3","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","192","22.21000","4,264.32",,"Cases",,"0.00","0.00","4,264.32","No"
"Delivered","4496","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4514","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Delivered","4588","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4501QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4501BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Loaded","4503","1","Banano Cavendish Organico Fairtrade con banda","001CODAA","960","24.36000","23,385.60",,,,"0.00","0.00","23,385.60","No"
"Delivered","4491","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4499","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECLAT","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Delivered","4450","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4490","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4495","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4540","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4451","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4461","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","960","24.36000","23,385.60",,"Casa",,"0.00","0.00","23,385.60","No"
"Delivered","4477","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4453","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","960","25.67000","24,643.20",,"Casa",,"0.00","0.00","24,643.20","No"
"Delivered","4482QC","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","288","23.81000","6,857.28",,"Casa",,"0.00","0.00","6,857.28","No"
"Delivered","4482BCH","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","672","23.81000","16,000.32",,"Casa",,"0.00","0.00","16,000.32","No"
"Delivered","4497","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4481","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4479","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Delivered","4480","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4478","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4474QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4474BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4539","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4470","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Loaded","4510","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Loaded","4517","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4448","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Delivered","4476","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4475BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4475QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4447","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4449","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4469","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4538","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4463","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4466","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4465","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4443","2","Banano Cavendish Organico Fairtrade con banda","001PEAPP","672","25.67000","17,250.24",,"Cases",,"0.00","0.00","17,250.24","No"
"Delivered","4443","3","Banano Cavendish Organico Fairtrade con banda","001PEAPP","288","25.67000","7,392.96",,"Cases",,"0.00","0.00","7,392.96","No"
"Delivered","4467","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","768","24.36000","18,708.48",,"Cases",,"0.00","0.00","18,708.48","No"
"Delivered","4467","2","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","192","22.21000","4,264.32",,"Cases",,"0.00","0.00","4,264.32","No"
"Delivered","4464","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4468","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","4472","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECLAT","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Delivered","4473BCH","1","Banano Cavendish Organico Fairtrade con banda","001PEAPP","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4473QC","1","Banano Cavendish Organico Fairtrade con banda","001PEAPP","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4484","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4513","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4456","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Delivered","4471","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECHCM","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4483","2","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECHCM","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4454QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","4454BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4444","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECHCM","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3989","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3999QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","3999BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","4460","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","4452","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","3994","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECPRI","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Delivered","4485","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3998","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3996","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4446","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","768","24.36000","18,708.48",,"Cases",,"0.00","0.00","18,708.48","No"
"Delivered","4446","2","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","192","22.21000","4,264.32",,"Cases",,"0.00","0.00","4,264.32","No"
"Delivered","4455","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","4445","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECLAT","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Delivered","4442","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3997","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","3986","1","Banano Cavendish Organico Fairtrade con banda","001ECMAR","960","25.67000","24,643.20",,"Casa",,"0.00","0.00","24,643.20","No"
"Delivered","3985","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Delivered","4512","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","3941","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3974","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","3974","2","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","3993","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","3987","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3988","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","25.32000","22,788.00",,,,"0.00","0.00","22,788.00","No"
"Delivered","4488","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","3975QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","3975BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","3954","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3953","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","3984","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","25.13000","22,617.00",,"Cases",,"0.00","0.00","22,617.00","No"
"Delivered","3980","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","4459","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","480","24.36000","11,692.80",,"Cases",,"0.00","0.00","11,692.80","No"
"Delivered","4459","2","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","480","22.21000","10,660.80",,"Cases",,"0.00","0.00","10,660.80","No"
"Delivered","3964","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3983","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3982","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007MXCOL","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3967","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","26.77000","24,093.00",,,,"0.00","0.00","24,093.00","No"
"Delivered","3981","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","768","24.36000","18,708.48",,"Cases",,"0.00","0.00","18,708.48","No"
"Delivered","3981","2","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","192","22.21000","4,264.32",,"Cases",,"0.00","0.00","4,264.32","No"
"Delivered","3972","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECELG","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3978","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECHCM","900","25.32000","22,788.00",,"Cases",,"0.00","0.00","22,788.00","No"
"Delivered","3973","1","Banano Cavendish Organico Fairtrade con banda","001PEAPP","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","3979","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECLAT","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3945QC","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","3945BCH","1","Banano Cavendish Organico Fairtrade con banda","001ECELG","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","3977","1","Banano Cavendish Convencional Fairtrade con etiqueta","004ECELG","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","3971","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECPRI","900","25.11000","22,599.00",,"Cases",,"0.00","0.00","22,599.00","No"
"Delivered","3959","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECPRI","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3991","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3965","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
"Delivered","3955QC","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","288","23.81000","6,857.28",,"Cases",,"0.00","0.00","6,857.28","No"
"Delivered","3955BCH","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","672","23.81000","16,000.32",,"Cases",,"0.00","0.00","16,000.32","No"
"Delivered","3976","1","Banano Cavendish Organico Fairtrade con banda","001MXCOL","720","28.02000","20,174.40",,"Cases",,"0.00","0.00","20,174.40","No"
"Delivered","3931","1","Banano Cavendish Convencional Fairtrade con etiqueta","004NICOQ","960","22.21000","21,321.60",,"Cases",,"0.00","0.00","21,321.60","No"
"Delivered","3956","1","Banano Cavendish Organico Fairtrade con banda","001COCIA","960","24.36000","23,385.60",,"Cases",,"0.00","0.00","23,385.60","No"
"Delivered","3968","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECSUR","900","25.11000","22,599.00",,,,"0.00","0.00","22,599.00","No"
"Delivered","3992","1","Banano Cavendish Organico Fairtrade 3lb con Banda Costco","007ECMAR","900","26.77000","24,093.00",,"Cases",,"0.00","0.00","24,093.00","No"
